name,neo_reference_id,is_potentially_hazardous_asteroid,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,orbit_id,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,orbital_period,perihelion_distance,perihelion_argument,aphelion_distance,perihelion_time,mean_anomaly,mean_motion
(2016 DK),3744696,False,22.4,88.0146520901,196.8067450894,7,.0528014,3.039,2457439.5,.5815694470755408,2.484670095117789,32.82296909860824,152.3255363931611,1430.545008383207,1.039661881735005,353.9293227391916,3.929678308500573,2457430.866936529219,2.172530630821391,.2516523408144073
(2016 EC1),3745028,False,23.0,66.7659413495,149.2931834393,4,.0690327,3.504,2457400.5,.5016513471186559,2.114080126376629,18.96184143646372,347.1256289167064,1122.743610746862,1.053548983063015,194.0904924813799,3.174611269690243,2457464.777832083999,339.3897561930043,.3206431072544904
(2016 GM2),3749033,False,25.139,24.9318770545,55.7493719004,9,.000919735,3.108,2457400.5,.6141305099313017,2.614260357024658,2.10995280630149,41.66172226585749,1543.908942699404,1.008763310871918,184.2664921323687,4.219757403177399,2457509.866023161924,334.4986460992614,.2331743732053059
(2016 CL248),3744557,False,23.2,60.8912622106,136.1570015386,7,.307919,3.316,2457441.5,.4767436153666422,2.472239666923383,1.032972029346288,345.324031473884,1419.823246202956,1.293615190061506,150.0460864571685,3.65086414378526,2457421.140443628457,5.16222023646722,.2535526876058345
(2016 DG),3744692,False,27.7,7.6657557353,17.1411509231,2,.0155852,4.343,2457400.5,.3714124178070862,1.557435723500586,9.652696918869493,145.9367396360994,709.9268877632346,.978984755856105,334.257882267918,2.135886691145068,2457412.188991402998,354.0725770813705,.5070944715648837
(2016 DM2),3744849,False,25.5,21.113244479,47.2106498806,5,.0681052,3.749,2457400.5,.4606597038324043,1.955622003115653,1.641650144865072,130.9851573858852,998.908708445551,1.054745750352263,10.05173699584222,2.856498255879042,2457431.890674264166,348.6870114960905,.3603932941581949
(2016 EE27),3745108,False,23.9,44.1118199997,98.6370281305,2,.020304,2.873,2457451.5,.783380941515585,2.60778326844032,3.951146935080346,134.8034973562791,1538.174717501359,.5648955563409526,288.7760904393858,4.650670980539688,2457395.065259917071,13.20819163043907,.234043633602814
(2016 FD22),3748659,False,23.789,46.425327556,103.8101882928,3,.0088118,4.553,2457485.5,.3804452326404866,1.414145947106209,25.10909872193664,.8317298394436932,614.2423787552812,.8761408632717858,304.5936425997775,1.952151030940631,2457603.937204510837,290.5853925118241,.5860878579063766
(2016 GL2),3749032,False,23.725,47.8139889241,106.9153295098,4,.0795891,4.568,2457483.5,.2659004396824597,1.451875889286108,14.95127324686046,186.7219590610324,638.9879474488388,1.06582145196057,340.2171249809584,1.837930326611646,2457457.614277841749,14.58378051444622,.5633909081341847
(2016 FK39),3749063,False,23.666,49.1309290529,109.8600971601,3,.169357,3.668,2457400.5,.4392563784989585,2.036795113325571,7.898085974805476,166.1635426150747,1061.743090457479,1.142119868101805,46.96216506128237,2.931470358549337,2457506.797613824755,323.9581916559274,.3390650744380024
(2016 FL39),3749073,False,23.312,57.8302375956,129.3123424187,1,.223965,4.279,2457400.5,.2486448210534741,1.627880355841177,2.137387854542054,336.6037150575842,758.6337340673643,1.223116336066582,216.4336510463535,2.032644375615773,2457491.406236633615,316.8616003764531,.4745372949208097
